customerid,loanamount,totaldue,termdays,totalamountreturn,interestrate
8a2a81a74ce8c05d014cfb32a0da1049,30000.0,34500.0,30,4500.0,13.043478260869565
8a85886e54beabf90154c0a29ae757c0,15000.0,17250.0,30,2250.0,13.043478260869565
8a8588f35438fe12015444567666018e,20000.0,22250.0,15,2250.0,10.112359550561797
8a85890754145ace015429211b513e16,10000.0,11500.0,15,1500.0,13.043478260869565
8a858970548359cc0154883481981866,40000.0,44000.0,30,4000.0,9.090909090909092
8a8589f35451855401546b0738c42524,30000.0,39000.0,60,9000.0,23.076923076923077
8a858e095c59b91b015c5e5cea3719bc,10000.0,13000.0,30,3000.0,23.076923076923077
8a858e1158dc4d830158f7bde4f47ea7,30000.0,34500.0,30,4500.0,13.043478260869565
8a858e185b4923b4015b4ae48d28646a,10000.0,11500.0,15,1500.0,13.043478260869565
8a858e1d5cd58f9e015ceda4bdb63673,10000.0,11500.0,15,1500.0,13.043478260869565
8a858e245c214660015c2ba8187976f7,10000.0,13000.0,30,3000.0,23.076923076923077
8a858e345bd96da8015be6b9f8bc10c7,10000.0,13000.0,30,3000.0,23.076923076923077
8a858e395cb1d4d9015cb236b4811cbc,10000.0,11500.0,15,1500.0,13.043478260869565
8a858e4456ced8470156dc8f1f4038d3,40000.0,44000.0,30,4000.0,9.090909090909092
8a858e5357d823010157d932443d28a3,40000.0,44000.0,30,4000.0,9.090909090909092
8a858e5b5bd99460015bdf725e143ff4,10000.0,13000.0,30,3000.0,23.076923076923077
8a858e645755e62201576b58e3522081,10000.0,11500.0,15,1500.0,13.043478260869565
8a858e6c5bd3fbff015bd408ac3e067a,10000.0,11500.0,15,1500.0,13.043478260869565
8a858e705668e16701567f1523211e5a,40000.0,44000.0,30,4000.0,9.090909090909092
8a858e7d595026f8015951c0c4a03fae,30000.0,34500.0,30,4500.0,13.043478260869565
8a858e885c17687c015c19eead6338fd,10000.0,13000.0,30,3000.0,23.076923076923077
8a858e8f5d41c974015d4b7f31865627,10000.0,11500.0,15,1500.0,13.043478260869565
8a858e9b5a195041015a1a602a51519d,25000.0,28750.0,30,3750.0,13.043478260869565
8a858ea555d9e6020155f489c9b237f8,10000.0,13000.0,30,3000.0,23.076923076923077
8a858eb05d2d1297015d313b03581809,10000.0,13000.0,30,3000.0,23.076923076923077
8a858eb85c1be44c015c1c4b667d25ee,10000.0,13000.0,30,3000.0,23.076923076923077
8a858ec75bfd77c4015c0d841520351c,20000.0,24500.0,30,4500.0,18.367346938775512
8a858ed35cc5ce51015cc60f40f522b4,10000.0,11500.0,15,1500.0,13.043478260869565
8a858edb5ad79cc6015ad7c9b29415c8,20000.0,22250.0,15,2250.0,10.112359550561797
8a858ee55830c4b90158337542ab18a1,10000.0,13000.0,30,3000.0,23.076923076923077
8a858eec5ca21dcb015ca2493dee1e2d,10000.0,13000.0,30,3000.0,23.076923076923077
8a858ef75997d0180159a695b01e2c4c,20000.0,24500.0,30,4500.0,18.367346938775512
8a858f03582604ff0158260fcc730548,20000.0,24500.0,30,4500.0,18.367346938775512
8a858f085b905684015b906e73a01478,20000.0,24500.0,30,4500.0,18.367346938775512
8a858f1955b1c4df0155cd14c5b478ed,10000.0,13000.0,30,3000.0,23.076923076923077
8a858f2656e154de0156e3a87cdc45fb,20000.0,22250.0,15,2250.0,10.112359550561797
8a858f2e5c699f3a015c6cf27a036477,10000.0,13000.0,30,3000.0,23.076923076923077
8a858f335cd0c78e015cd435d7192800,10000.0,11500.0,15,1500.0,13.043478260869565
8a858f3d5add42e2015ae0ca6cb66b83,30000.0,34500.0,30,4500.0,13.043478260869565
8a858f4655ca643c0155cbc4e13945cc,40000.0,44000.0,30,4000.0,9.090909090909092
8a858f4f5511dca201551b73634170b6,10000.0,13000.0,30,3000.0,23.076923076923077
8a858f555cc65d60015cc72de106320c,10000.0,13000.0,30,3000.0,23.076923076923077
8a858f5e599783c0015997c56ef70ffa,10000.0,11500.0,15,1500.0,13.043478260869565
8a858f60560bc43d01561d94abd91c48,10000.0,11500.0,15,1500.0,13.043478260869565
8a858f6e5aa3c922015aa3d9cba10a74,20000.0,22250.0,15,2250.0,10.112359550561797
8a858f785cea234f015cea434e0a09e6,10000.0,13000.0,30,3000.0,23.076923076923077
8a858f7e564ad338015654d3a5c242a5,30000.0,34500.0,30,4500.0,13.043478260869565
