customerid,loannumberprevious,loanamountprevious,totaldueprevious,termdaysprevious,datediffsecondsprevious
8a1088a0484472eb01484669e3ce4e0b,1.0,100000000.0,115000000.0,15.0,3668.0
8a1a1e7e4f707f8b014f797718316cad,2.5,175000000.0,223750000.0,37.5,3622.75
8a1a32fc49b632520149c3b8fdf85139,4.0,128571428.57142857,152142857.14285713,19.285714285714285,3618.5714285714284
8a1eb5ba49a682300149c3c068b806c7,4.5,162500000.0,203000000.0,33.75,3616.5
8a1edbf14734127f0147356fdb1b1eb2,1.5,100000000.0,122500000.0,22.5,3637.5
8a26bd845089f1d7015090b1d6f53bad,5.0,133333333.33333333,163388888.8888889,26.666666666666668,3611.5555555555557
8a28afc7474813a40147639ec637156b,5.5,178000000.0,210900000.0,31.5,3613.0
8a2a81a74ce8c05d014cfb32a0da1049,6.0,181818181.8181818,220818181.8181818,30.0,5903.818181818182
8a2ac4745091002b0150a144bcbe58b7,4.0,228571428.57142857,278571428.5714286,42.857142857142854,3619.8571428571427
8a2ad9ce4c453e06014c4b3175e52407,2.0,200000000.0,245000000.0,30.0,3668.0
8a33a06e4a5075c2014a5295aa0c2224,4.5,125000000.0,155000000.0,26.25,3623.75
8a3442825124396701513514dad40fa7,5.0,177777777.7777778,200777777.7777778,18.333333333333332,3610.222222222222
8a3735d5518aba7301518ac34413010d,3.5,116666666.66666667,146666666.66666666,27.5,3620.0
8a390a2150ad97330150aebdd8ef7456,4.5,225000000.0,260437500.0,26.25,3617.0
8a399f284741b63b0147496a04db1eb4,3.0,100000000.0,130000000.0,30.0,3668.0
8a688b474ed5e088014ed8b6c50c5f51,3.5,250000000.0,287500000.0,30.0,3638.0
8a6a96044539adf801453c576ed213c4,8.0,200000000.0,225850000.0,20.0,3608.8
8a6b87fe4d56512d014d57af446e7ad0,1.0,100000000.0,115000000.0,15.0,3668.0
8a76e7d443e6e97c0143ed099d102b1d,4.5,100000000.0,115000000.0,15.0,3616.5
8a76e7d443e6e97c0143ed0a1f4d5331,3.5,100000000.0,128125000.0,30.0,3608.25
8a76e7d443e6e97c0143ed0a33375981,2.0,300000000.0,390000000.0,60.0,3670.0
8a818823525dceef01525deda2480384,5.0,188888888.8888889,233305555.55555555,40.0,9608.333333333334
8a81890b51d31db90151d5fd989c1dbd,1.0,100000000.0,130000000.0,30.0,3609.0
8a818926522ea5ef01523aff15c37482,1.5,100000000.0,130000000.0,30.0,3631.5
8a81894c529babae0152a10bafeb6895,3.3333333333333335,250000000.0,299166666.6666667,40.0,3628.0
8a8189a552638e13015264cf62312966,1.0,50000000.0,57500000.0,30.0,3609.0
8a8189d152443f820152443f89500001,6.5,116666666.66666667,144833333.33333334,27.5,3616.5833333333335
8a8189f9526ad7de015280bef19d5811,6.5,191666666.66666666,230687500.0,35.0,3614.5833333333335
8a85880353acff880153b23e3c742a08,6.0,254545454.54545453,286363636.3636364,23.181818181818183,3613.909090909091
8a85880353acff880153b3c9f0d641b0,8.0,280000000.0,320233333.3333333,29.0,3617.6
8a85880353acff880153b4d53d6b45db,6.5,202500000.0,239583333.33333334,32.5,11061.666666666666
8a85880353acff880153b4d9bf104630,7.5,275000000.0,315678571.4285714,28.928571428571427,3610.0714285714284
8a85880353acff880153b92f8599568b,3.5,183333333.33333334,221000000.0,30.0,3620.6666666666665
8a85880353acff880153b9993fe358d9,4.5,168750000.0,195718750.0,22.5,3616.0
8a85880353acff880153bd56e93f75ff,2.0,100000000.0,120000000.0,20.0,4332.666666666667
8a85881053bc33670153bda8562417c7,1.0,100000000.0,130000000.0,30.0,3667.0
8a85881053bc33670153c0ff6d6a38b9,5.5,155000000.0,173200000.0,18.0,3609.5
8a85881053bc33670153c1f814696fb8,1.5,100000000.0,115000000.0,15.0,3611.0
8a85881053bc33670153c5ffe58162b8,1.5,100000000.0,130000000.0,30.0,3607.5
8a85881053bc33670153c65bdb937097,5.0,93333333.33333333,112000000.0,23.333333333333332,3608.4444444444443
8a85881053bc33670153c762675d3e71,3.5,208333333.33333334,245916666.66666666,30.0,3608.8333333333335
8a85881053bc33670153c79e8e84571a,1.0,50000000.0,65000000.0,30.0,3608.0
8a85881053bc33670153c7a0e6ee582e,6.0,263636363.63636363,303681818.1818182,32.72727272727273,3622.2727272727275
8a85881053bc33670153c7a4d2685aa0,4.0,107142857.14285715,133392857.14285715,25.714285714285715,3616.5714285714284
